PG.ProteinLabel	PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.Completeness	[1] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_A1_983t_S3-C7_1_5750.d.PG.Quantity	[2] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_B1_981s_S3-A8_1_5727.d.PG.Quantity	[3] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_C1_975s_S3-C11_1_5754.d.PG.Quantity	[4] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_D1_1s_S3-B2_1_5733.d.PG.Quantity	[5] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_E1_5t_S3-D7_1_5762.d.PG.Quantity	[6] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_F1_949t_S3-D1_1_5756.d.PG.Quantity	[7] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_G1_9t_S3-B4_1_5735.d.PG.Quantity	[8] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_H1_977t_S3-B12_1_5743.d.PG.Quantity	[9] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_I1_995s_S3-B7_1_5738.d.PG.Quantity	[10] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_J1_7s_S3-C5_1_5748.d.PG.Quantity	[11] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_K1_997t_S3-A4_1_5723.d.PG.Quantity	[12] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_L1_941t_S3-C3_1_5746.d.PG.Quantity	[13] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_M1_943s_S3-A3_1_5722.d.PG.Quantity	[14] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_N1_965t_S3-A10_1_5729.d.PG.Quantity	[15] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_O1_955s_S3-D6_1_5761.d.PG.Quantity
TM201_MOUSE	A2A8U2	Tmem201	Transmembrane protein 201	100	125.687255859375	95.0510025024414	75.52479553222656	97.26317596435547	183.15480041503906	158.6642608642578	67.52214050292969	99.32850646972656	100.85848999023438	80.96001434326172	85.7786636352539	86.83302307128906	85.14383697509766	69.6114730834961	137.89501953125
OSBL9_MOUSE	A2A8Z1	Osbpl9	Oxysterol-binding protein-related protein 9	93.3	9.218735694885254	32.02496337890625	28.377511978149414	25.47356414794922	NaN	20.433307647705078	23.01444435119629	23.40056037902832	31.344951629638672	6.104649543762207	27.025402069091797	11.831578254699707	97.76204681396484	28.264198303222656	28.209749221801758
OBSCN_MOUSE	A2AAJ9	Obscn	Obscurin	80	NaN	15.50783634185791	8.598123550415039	10.803264617919922	NaN	NaN	4.941749572753906	7.181314468383789	5.750415802001953	8.598945617675781	9.781390190124512	5.094271659851074	4.303595066070557	10.092818260192871	21.445680618286133
DDI2_MOUSE	A2ADY9	Ddi2	Protein DDI1 homolog 2	93.3	24.29218101501465	30.516454696655273	58.98624801635742	16.678752899169922	NaN	73.67918395996094	14.67785930633545	26.925907135009766	64.80220031738281	45.360130310058594	18.10664176940918	41.13427734375	42.53242111206055	20.599037170410156	111.04601287841797
DOC11_MOUSE	A2AF47	Dock11	Dedicator of cytokinesis protein 11	80	14.287313461303711	19.075227737426758	12.63677978515625	16.612442016601562	NaN	25.03933334350586	13.064777374267578	18.868314743041992	79.03742980957031	19.91900634765625	18.69247817993164	17.837867736816406	13.545188903808594	NaN	NaN
ELAP1_MOUSE	A2AFS3	Elapor1	Endosome/lysosome-associated apoptosis and autophagy regulator 1	100	25.988374710083008	37.86795425415039	19.131343841552734	19.191200256347656	43.919246673583984	26.74261474609375	19.257993698120117	29.733945846557617	29.129907608032227	25.493297576904297	25.894399642944336	21.540517807006836	24.590539932250977	24.349702835083008	14.729294776916504
MEIOC_MOUSE	A2AG06	Meioc	Meiosis-specific coiled-coil domain-containing protein MEIOC	100	66.85120391845703	50.97060012817383	33.00880432128906	66.84668731689453	247.09063720703125	42.0435676574707	101.63380432128906	43.775123596191406	19.76121711730957	40.857391357421875	71.75284576416016	116.09858703613281	696.7408447265625	68.36915588378906	153.3677215576172
MA7D2_MOUSE	A2AG50	Map7d2	MAP7 domain-containing protein 2	80	27.424137115478516	29.88326644897461	24.806690216064453	32.62929916381836	NaN	13.046916007995605	19.764331817626953	35.24189758300781	23.15392303466797	23.51150894165039	27.27884864807129	26.615394592285156	NaN	23.309480667114258	NaN
RYR3_MOUSE	A2AGL3	Ryr3	Ryanodine receptor 3	100	19.27725601196289	24.28790283203125	11.738480567932129	25.86692237854004	29.19997215270996	23.86036491394043	21.265138626098633	13.491316795349121	13.644350051879883	16.12062644958496	21.93912696838379	17.043399810791016	22.654407501220703	19.356101989746094	34.8997917175293
CKAP5_MOUSE	A2AGT5	Ckap5	Cytoskeleton-associated protein 5	100	41.22994613647461	53.59183120727539	49.42816925048828	64.67340850830078	83.12079620361328	43.92776107788086	46.87187194824219	35.36909484863281	46.93403244018555	40.13951110839844	55.37350082397461	44.351478576660156	90.69645690917969	43.66049575805664	54.044647216796875
CAMP1_MOUSE	A2AHC3	Camsap1	Calmodulin-regulated spectrin-associated protein 1	93.3	24.892213821411133	23.81007194519043	23.684627532958984	22.087112426757812	NaN	42.9846305847168	22.44590187072754	20.39733123779297	29.247356414794922	18.92283821105957	24.699283599853516	24.849477767944336	23.90571403503418	16.437236785888672	25.4786319732666
VIR_MOUSE	A2AIV2	Virma	Protein virilizer homolog	60	6.842994689941406	11.39775276184082	10.993823051452637	20.80301284790039	NaN	NaN	18.36703109741211	NaN	NaN	NaN	13.565733909606934	8.690095901489258	33.454742431640625	8.607691764831543	NaN
CARD9_MOUSE	A2AIV8	Card9	Caspase recruitment domain-containing protein 9	6.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.264495849609375	NaN	NaN
MA1B1_MOUSE	A2AJ15	Man1b1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	100	4.510135650634766	12.302754402160645	7.098080635070801	14.085714340209961	38.4359130859375	15.827071189880371	12.243135452270508	11.482278823852539	21.19666290283203	7.664728164672852	18.969425201416016	10.28983211517334	15.017529487609863	15.415671348571777	41.1838493347168
MA7D1_MOUSE	A2AJI0	Map7d1	MAP7 domain-containing protein 1	86.7	12.621464729309082	NaN	16.20406723022461	19.130399703979492	22.881929397583008	14.343790054321289	17.738479614257812	7.200607776641846	10.443345069885254	10.686186790466309	21.572118759155273	16.37746810913086	19.97770881652832	18.172712326049805	NaN
DCA10_MOUSE	A2AKB9	Dcaf10	DDB1- and CUL4-associated factor 10	100	528.8216552734375	326.1639709472656	409.6695861816406	424.9498291015625	1012.4844970703125	515.8491821289062	426.1960754394531	328.5240173339844	603.2199096679688	654.8029174804688	202.02139282226562	526.1414794921875	361.85498046875	441.4482727050781	538.0931396484375
AJAP1_MOUSE	A2ALI5	Ajap1	Adherens junction-associated protein 1	60	12.412559509277344	17.916608810424805	6.507320404052734	17.817270278930664	NaN	NaN	14.334663391113281	NaN	NaN	11.458311080932617	22.662742614746094	8.057445526123047	NaN	8.428552627563477	NaN
PTN3_MOUSE	A2ALK8	Ptpn3	Tyrosine-protein phosphatase non-receptor type 3	73.3	12.731619834899902	10.2049560546875	15.386519432067871	10.796309471130371	NaN	NaN	28.052888870239258	14.113961219787598	NaN	28.419330596923828	18.434053421020508	6.664464473724365	20.898218154907227	9.352139472961426	NaN
RPGP1_MOUSE	A2ALS5	Rap1gap	Rap1 GTPase-activating protein 1	93.3	30.934621810913086	26.733285903930664	45.61713409423828	38.09066390991211	NaN	52.89702606201172	38.854373931884766	45.28567123413086	55.84455490112305	39.427005767822266	35.097808837890625	48.878684997558594	29.670902252197266	31.027631759643555	58.82195281982422
SHRM2_MOUSE	A2ALU4	Shroom2	Protein Shroom2	73.3	31.02182960510254	43.544647216796875	43.00888442993164	NaN	NaN	24.57318878173828	42.28425216674805	30.948461532592773	86.27810668945312	42.92733383178711	26.016862869262695	69.5276870727539	NaN	21.694900512695312	NaN
UBR4_MOUSE	A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4	100	28.317249298095703	42.7801513671875	28.342958450317383	48.93622970581055	58.74131774902344	32.00514221191406	37.40901184082031	35.01078796386719	41.59191131591797	24.708293914794922	44.23068618774414	30.16059684753418	70.26775360107422	29.66004180908203	37.62289047241211
PLCH2_MOUSE	A2AP18	Plch2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	100	42.58164978027344	37.21109390258789	64.37969970703125	76.83665466308594	84.2243881225586	57.70925521850586	85.76290130615234	63.96487045288086	78.48994445800781	50.91571044921875	67.37186431884766	66.8277359008789	66.52847290039062	76.78034973144531	135.40231323242188
FMNL2_MOUSE;FMNL3_MOUSE	A2APV2;Q6ZPF4	Fmnl2;Fmnl3	Formin-like protein 2;Formin-like protein 3	93.3	28.874197006225586	24.63585090637207	16.918222427368164	20.68366813659668	37.16194152832031	21.56121253967285	22.5670223236084	20.582691192626953	11.844734191894531	18.309152603149414	26.645923614501953	10.3682279586792	16.145835876464844	16.639554977416992	NaN
SCN1A_MOUSE	A2APX8	Scn1a	Sodium channel protein type 1 subunit alpha	86.7	24.958694458007812	25.34158706665039	19.576622009277344	34.51479721069336	38.79460144042969	22.121578216552734	19.93486976623535	18.789661407470703	33.6114387512207	29.438047409057617	32.54591369628906	22.741979598999023	NaN	24.869361877441406	NaN
NDUF5_MOUSE	A2APY7	Ndufaf5	Arginine-hydroxylase NDUFAF5, mitochondrial	40	NaN	27.78667640686035	24.571989059448242	NaN	NaN	NaN	24.287744522094727	NaN	NaN	NaN	29.37261390686035	12.075852394104004	NaN	22.41541290283203	NaN
TBB1_MOUSE	A2AQ07	Tubb1	Tubulin beta-1 chain	86.7	82.64730072021484	25.145206451416016	87.59879302978516	44.09857940673828	127.7464599609375	81.61786651611328	59.47061538696289	81.76284790039062	73.9547348022461	94.69914245605469	75.14720916748047	NaN	112.33470153808594	47.099239349365234	NaN
RTF1_MOUSE	A2AQ19	Rtf1	RNA polymerase-associated protein RTF1 homolog	93.3	36.22357940673828	63.781211853027344	37.44850158691406	40.97500991821289	NaN	69.72529602050781	43.55209732055664	39.20283508300781	65.17962646484375	63.91331481933594	55.27959442138672	57.532413482666016	81.4496841430664	53.45182418823242	126.41575622558594
SKT_MOUSE	A2AQ25	Skt	Sickle tail protein	93.3	35.3841552734375	41.008426666259766	38.593605041503906	45.56755447387695	98.05433654785156	38.56865692138672	37.769554138183594	34.01301193237305	29.50786590576172	39.120384216308594	40.20785903930664	37.75043487548828	53.99687194824219	35.42165756225586	NaN
PPIG_MOUSE	A2AR02	Ppig	Peptidyl-prolyl cis-trans isomerase G	100	48.811153411865234	59.77768325805664	65.30428314208984	56.65155792236328	43.11411666870117	71.77925109863281	54.69404983520508	55.94174575805664	89.85650634765625	73.13922882080078	87.04521179199219	66.59172058105469	77.03791046142578	73.89130401611328	75.96109008789062
VIP1_MOUSE	A2ARP1	Ppip5k1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	73.3	31.76433563232422	36.5387077331543	33.61311340332031	41.13612365722656	NaN	NaN	51.59087371826172	36.57674026489258	NaN	44.40610122680664	31.663833618164062	48.48342514038086	77.0711441040039	33.467308044433594	NaN
ANR63_MOUSE	A2ARS0	Ankrd63	Ankyrin repeat domain-containing protein 63	93.3	66.1011962890625	60.82749938964844	58.4332275390625	70.13096618652344	NaN	70.28467559814453	77.6955795288086	44.8857421875	76.82096099853516	54.4683723449707	59.752784729003906	56.237998962402344	44.422203063964844	60.795650482177734	186.51504516601562
LRP2_MOUSE	A2ARV4	Lrp2	Low-density lipoprotein receptor-related protein 2	46.7	NaN	1.7201203107833862	2.8406200408935547	2.2253408432006836	NaN	NaN	NaN	1.9585890769958496	NaN	NaN	2.6590189933776855	NaN	1.2780665159225464	2.129309892654419	NaN
AGRIN_MOUSE	A2ASQ1	Agrn	Agrin	93.3	10.041881561279297	8.354666709899902	7.281590461730957	11.369895935058594	16.129711151123047	9.733107566833496	8.710481643676758	8.168679237365723	14.335500717163086	10.854076385498047	11.470650672912598	15.38599967956543	11.801657676696777	7.798885822296143	NaN
TITIN_MOUSE	A2ASS6	Ttn	Titin	100	22.2189998626709	33.43891143798828	23.57944107055664	31.641613006591797	42.26658248901367	30.329381942749023	36.924896240234375	20.222558975219727	43.78691101074219	25.952110290527344	35.272254943847656	26.04962921142578	49.824344635009766	23.678241729736328	550.385986328125
SCMC2_MOUSE	A2ASZ8	Slc25a25	Mitochondrial adenyl nucleotide antiporter SLC25A25	100	41.706546783447266	24.912973403930664	30.945749282836914	53.482234954833984	29.42204475402832	52.602359771728516	32.64943313598633	58.701393127441406	40.22002410888672	32.847442626953125	54.02790451049805	28.006399154663086	40.38440704345703	30.615131378173828	13.468352317810059
RENT2_MOUSE	A2AT37	Upf2	Regulator of nonsense transcripts 2	100	74.95590209960938	53.2018928527832	62.44794845581055	62.872833251953125	32.45402145385742	54.051490783691406	64.66921997070312	45.81744384765625	81.24700164794922	55.11604690551758	56.33085250854492	63.79230880737305	67.02780151367188	56.092552185058594	47.33066177368164
KLH41_MOUSE	A2AUC9	Klhl41	Kelch-like protein 41	60	21.797388076782227	16.481773376464844	NaN	17.2100772857666	NaN	11.317988395690918	26.484634399414062	11.877788543701172	NaN	NaN	16.379201889038086	NaN	NaN	9.219979286193848	264.6646728515625
FBCD1_MOUSE	A2AV25	Fibcd1	Fibrinogen C domain-containing protein 1	100	84.15437316894531	86.9725341796875	38.99248123168945	63.59899139404297	39.17502212524414	58.041316986083984	91.65121459960938	39.1579475402832	50.86524963378906	56.59138870239258	51.80891799926758	65.36937713623047	85.38969421386719	73.45330047607422	64.20081329345703
RBGP1_MOUSE	A2AWA9	Rabgap1	Rab GTPase-activating protein 1	93.3	47	68.97998046875	49.509361267089844	51.84552764892578	NaN	55.906803131103516	63.39936447143555	45.65258026123047	32.66623306274414	57.56658935546875	53.50847625732422	51.05825424194336	108.79066467285156	51.234130859375	50.33989334106445
ARGAL_MOUSE	A2AWP8	Arhgef10l	Rho guanine nucleotide exchange factor 10-like protein	73.3	43.79841232299805	19.83853530883789	NaN	21.635196685791016	NaN	9.844815254211426	NaN	18.07762908935547	NaN	50.0966911315918	25.562307357788086	30.258460998535156	88.0550308227539	16.28620147705078	434.45672607421875
MOCS3_MOUSE	A2BDX3	Mocs3	Adenylyltransferase and sulfurtransferase MOCS3	93.3	347.7851257324219	123.58164978027344	319.741943359375	302.9796142578125	363.3853759765625	378.9910888671875	192.4866180419922	229.3911895751953	227.36026000976562	347.17559814453125	348.4633483886719	244.78509521484375	611.4446411132812	293.8193359375	NaN
LAS1L_MOUSE	A2BE28	Las1l	Ribosomal biogenesis protein LAS1L	100	53.47005081176758	68.03868865966797	46.3452262878418	74.59463500976562	93.43737030029297	68.6721420288086	77.13508605957031	59.65256881713867	63.91109848022461	65.91015625	89.35601043701172	55.74177551269531	88.68975830078125	74.766357421875	136.08465576171875
MUP18_MOUSE;MUP6_MOUSE;MUP11_MOUSE	A2BIM8;P02762;P04938	Mup18;Mup6;Mup11	Major urinary protein 18;Major urinary protein 6;Major urinary protein 11	93.3	14.4451265335083	NaN	9.7804594039917	31.151689529418945	57.02827453613281	1013.2551879882812	166.75259399414062	20.519428253173828	54.22557067871094	16.432621002197266	38.207218170166016	44.14357376098633	91.61363983154297	31.630151748657227	132.02967834472656
KALRN_MOUSE	A2CG49	Kalrn	Kalirin	100	97.47271728515625	92.18070220947266	69.22699737548828	106.6423568725586	85.70855712890625	64.91317749023438	83.43212890625	81.47638702392578	76.55945587158203	63.375125885009766	109.03770446777344	64.31865692138672	77.5623550415039	60.731361389160156	72.09429168701172
BLT3B_MOUSE	A2RSJ4	Bltp3b	Bridge-like lipid transfer protein family member 3B	93.3	57.46003723144531	51.16041564941406	47.162899017333984	66.1027603149414	NaN	46.92722702026367	46.46714782714844	67.0568618774414	48.995548248291016	48.48567199707031	59.4481315612793	39.63145065307617	34.73704147338867	40.582218170166016	80.07365417480469
TRM1L_MOUSE	A2RSY6	Trmt1l	TRMT1-like protein	93.3	7.81036901473999	12.48069953918457	5.563615322113037	10.186975479125977	38.611568450927734	9.786518096923828	11.548016548156738	14.27137279510498	12.002737998962402	11.793739318847656	15.228381156921387	14.45605754852295	14.730790138244629	11.138893127441406	NaN
FXL16_MOUSE	A2RT62	Fbxl16	F-box/LRR-repeat protein 16	86.7	34.493019104003906	35.96274948120117	52.776649475097656	22.92880630493164	NaN	24.92756462097168	37.47367477416992	27.399715423583984	56.65571975708008	34.19853210449219	22.5497989654541	46.762176513671875	39.12807083129883	32.88825225830078	NaN
RGPA2_MOUSE	A3KGS3	Ralgapa2	Ral GTPase-activating protein subunit alpha-2	6.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.19562530517578	NaN	NaN
TTC38_MOUSE	A3KMP2	Ttc38	Tetratricopeptide repeat protein 38	46.7	2.4609405994415283	7.386783123016357	3.970423936843872	6.25590705871582	NaN	NaN	17.54361915588379	7.628445148468018	NaN	NaN	NaN	NaN	8.233292579650879	NaN	NaN
EXC6B_MOUSE	A6H5Z3	Exoc6b	Exocyst complex component 6B	100	40.480342864990234	50.991004943847656	30.53951072692871	42.44533157348633	50.32622528076172	38.60542678833008	36.967769622802734	38.32713317871094	28.12042808532715	32.65187454223633	42.993751525878906	36.3109130859375	48.67593765258789	27.916048049926758	60.773651123046875
MIPEP_MOUSE	A6H611	Mipep	Mitochondrial intermediate peptidase	80	15.177231788635254	34.52884292602539	18.46119499206543	22.238487243652344	NaN	12.51425552368164	16.720081329345703	14.367181777954102	23.60310173034668	16.740909576416016	23.832082748413086	NaN	31.73067283630371	17.61114501953125	NaN
PHRF1_MOUSE	A6H619	Phrf1	PHD and RING finger domain-containing protein 1	80	46.97425079345703	253.45248413085938	157.9897003173828	176.03953552246094	NaN	NaN	198.6708526611328	173.1033477783203	429.0162048339844	160.42869567871094	204.80006408691406	83.53704833984375	111.67774200439453	187.41055297851562	NaN
RBG1L_MOUSE	A6H6A9	Rabgap1l	Rab GTPase-activating protein 1-like	86.7	19.445222854614258	21.653390884399414	32.27662658691406	28.441757202148438	NaN	19.05560302734375	25.067245483398438	25.28179168701172	9.216552734375	21.70408058166504	32.071346282958984	32.77079391479492	25.554092407226562	17.88276481628418	NaN
KCNB2_MOUSE	A6H8H5	Kcnb2	Potassium voltage-gated channel subfamily B member 2	100	59.30045700073242	70.44624328613281	50.079322814941406	93.53559875488281	62.15107345581055	50.058326721191406	104.25655364990234	45.41609573364258	47.634132385253906	63.00905990600586	82.34228515625	38.82827377319336	90.89315032958984	82.6910171508789	31.105295181274414
AT2C2_MOUSE	A7L9Z8	Atp2c2	Calcium-transporting ATPase type 2C member 2	13.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.959050178527832	NaN	NaN	29.68225860595703	NaN	NaN
S14L1_MOUSE	A8Y5H7	Sec14l1	SEC14-like protein 1	80	10.42641544342041	16.19811248779297	7.975370407104492	11.860506057739258	NaN	15.366518020629883	18.58836555480957	24.961994171142578	NaN	9.696430206298828	24.79909896850586	12.573528289794922	30.17835235595703	14.546913146972656	NaN
NLGN4_MOUSE	B0F2B4	Nlgn4l	Neuroligin 4-like	93.3	67.92051696777344	54.20684051513672	43.9211540222168	47.65593338012695	62.09120178222656	62.788665771484375	42.62192916870117	64.54867553710938	70.45234680175781	48.754432678222656	37.101497650146484	35.505130767822266	42.55533981323242	34.77476119995117	NaN
PTPRS_MOUSE	B0V2N1	Ptprs	Receptor-type tyrosine-protein phosphatase S	100	56.09959030151367	56.13184356689453	34.72511672973633	50.87940216064453	32.687767028808594	32.73090744018555	38.09279251098633	36.94846725463867	42.20697021484375	34.6063232421875	41.897525787353516	34.08700942993164	38.000282287597656	28.890783309936523	44.264312744140625
KRT36_MOUSE	B1AQ75	Krt36	Keratin, type I cuticular Ha6	93.3	194.9242706298828	1373.575439453125	98.36865234375	135.16014099121094	427.6278991699219	139.09384155273438	245.59873962402344	132.69383239746094	NaN	178.36886596679688	484.68701171875	180.3438262939453	1093.1845703125	103.81786346435547	269.25982666015625
UPP_MOUSE	B1AVZ0	Uprt	Uracil phosphoribosyltransferase homolog	66.7	23.511884689331055	23.042179107666016	29.646528244018555	NaN	NaN	27.825458526611328	13.315914154052734	31.027324676513672	19.301645278930664	NaN	15.734597206115723	NaN	38.333003997802734	20.867624282836914	NaN
SCN2A_MOUSE	B1AWN6	Scn2a	Sodium channel protein type 2 subunit alpha	100	87.14703369140625	101.61515045166016	67.5315170288086	130.9580535888672	87.02085876464844	77.6434555053711	76.93204498291016	78.9530029296875	84.74561309814453	66.13439178466797	97.5096206665039	60.41651153564453	63.13352966308594	53.678348541259766	51.73038864135742
NHSL2_MOUSE	B1AXH1	Nhsl2	NHS-like protein 2	93.3	14.178803443908691	24.318572998046875	15.891932487487793	25.540739059448242	20.908950805664062	13.222583770751953	13.467287063598633	19.880338668823242	19.845504760742188	10.41479778289795	16.46953582763672	16.68100929260254	25.884618759155273	25.379825592041016	NaN
TOM5_MOUSE	B1AXP6	Tomm5	Mitochondrial import receptor subunit TOM5 homolog	100	45.76939392089844	46.192378997802734	37.93772888183594	66.26213836669922	112.92269897460938	66.80032348632812	59.137840270996094	74.87545013427734	63.25236511230469	48.62645721435547	84.48209381103516	109.84100341796875	105.90143585205078	70.74114227294922	51.751163482666016
FRS1L_MOUSE	B1AXV0	Frrs1l	DOMON domain-containing protein FRRS1L	100	165.5123748779297	218.3026580810547	123.57172393798828	157.7548370361328	204.10191345214844	205.7492218017578	191.0553741455078	132.09588623046875	143.83103942871094	185.73477172851562	153.1993408203125	182.8175048828125	153.98611450195312	188.1213836669922	196.04579162597656
